Unnamed: 0,Rk,Date,Comp,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Scorer-p,GCA1-p,GCA2-p
9,10,2023-09-17,La Liga,Matchweek 5,Away,Ante Budimir,Getafe,Y,0.79,0.96,Left Foot,13.0,57,1-2,David Soria,,Ante Budimir,Fouled,Ezequiel Ávila,Pass (Live),,ST,ST,ST
10,11,2023-10-01,La Liga,Matchweek 8,Away,José Arnaiz,Alavés,Y,0.03,0.41,Right Foot,30.0,36,0-0,Antonio Sivera,Rubén Peña,Rubén Peña,Pass (Live),Rubén García,Pass (Live),,LW,RB,LW
11,12,2023-10-01,La Liga,Matchweek 8,Away,Ante Budimir,Alavés,N,0.22,0.81,Left Foot,17.0,90,1-0,Antonio Sivera,Juan Cruz Armada,Juan Cruz Armada,Pass (Live),Aimar Oroz,Pass (Live),,ST,LB,MF
12,13,2023-10-20,La Liga,Matchweek 10,Home,Ante Budimir,Granada,Y,0.59,0.69,Left Foot,11.0,11,0-0,André Ferreira,Ezequiel Ávila,Ezequiel Ávila,Pass (Live),Jon Moncayola,Pass (Live),,ST,ST,MF
13,14,2023-10-20,La Liga,Matchweek 10,Home,Ante Budimir,Granada,Y,0.79,0.96,Left Foot,13.0,59,1-0,André Ferreira,,Ante Budimir,Fouled,Ezequiel Ávila,Pass (Live),,ST,ST,ST
14,15,2023-10-29,La Liga,Matchweek 11,Away,Rubén García,Betis,N,0.22,0.35,Right Foot,11.0,85,0-1,Claudio Bravo,Catena,Catena,Pass (Live),David García,Pass (Live),,LW,CB,CB
15,16,2023-11-04,La Liga,Matchweek 12,Home,Ante Budimir,Girona,Y,0.35,0.84,Left Foot,5.0,25,0-1,Paulo Gazzaniga,,Moi Gómez,Shot,,,,ST,LW,
16,17,2023-11-04,La Liga,Matchweek 12,Home,Ante Budimir,Girona,Y,0.12,0.58,Head,8.0,55,1-1,Paulo Gazzaniga,Johan Mojica,Johan Mojica,Pass (Live),Aimar Oroz,Pass (Live),,ST,LB,MF
17,18,2023-11-11,La Liga,Matchweek 13,Home,Ante Budimir,Las Palmas,Y,0.23,0.37,Head,8.0,73,0-1,Álvaro Vallés,Jon Moncayola,Jon Moncayola,Pass (Live),Kike Barja,Pass (Live),,ST,MF,RW
18,19,2023-11-26,La Liga,Matchweek 14,Away,Catena,Villarreal,Y,0.12,0.2,Head,9.0,78,0-2,Filip Jørgensen,Ezequiel Ávila,Ezequiel Ávila,Pass (Dead),Johan Mojica,Fouled,,CB,ST,LB
19,20,2023-12-02,La Liga,Matchweek 15,Home,Moi Gómez,Real Sociedad,Y,0.25,0.97,Right Foot,6.0,2,0-0,Álex Remiro,Ante Budimir,Jesús Areso,Pass (Live),Rubén García,Pass (Live),,LW,RB,LW
21,22,2023-12-15,La Liga,Matchweek 17,Home,Raúl,Rayo Vallecano,N,0.19,0.49,Head,5.0,90+5,0-0,Stole Dimitrievski,José Arnaiz,José Arnaiz,Pass (Dead),Jesús Areso,Pass (Live),,CAM,LW,RB
22,23,2023-12-21,La Liga,Matchweek 18,Away,Pablo Ibáñez,Mallorca,Y,0.62,0.92,Left Foot,5.0,7,0-0,Predrag Rajković,,José Arnaiz,Shot,,,,MF,LW,
23,24,2023-12-21,La Liga,Matchweek 18,Away,Raúl,Mallorca,N,0.58,0.93,Right Foot,7.0,90+1,1-3,Predrag Rajković,Ezequiel Ávila,Ezequiel Ávila,Shot,,,,CAM,ST,
25,26,2024-01-07,Copa del Rey,Round of 32,Away,José Arnaiz,Castellón,N,,,,,108,0-0,Brian Schwake,Jesús Areso,Jesús Areso,,,,,LW,RB,
26,27,2024-01-21,La Liga,Matchweek 21,Home,Raúl,Getafe,Y,0.35,0.23,Left Foot,10.0,9,0-0,David Soria,Pablo Ibáñez,Pablo Ibáñez,Pass (Live),David García,Pass (Live),,CAM,MF,CB
28,29,2024-01-21,La Liga,Matchweek 21,Home,Jesús Areso,Getafe,N,0.0,0.54,Right Foot,30.0,80,2-2,David Soria,,José Arnaiz,Pass (Dead),José Arnaiz,Fouled,,RB,LW,LW
29,30,2024-01-28,La Liga,Matchweek 22,Away,Ante Budimir,Sevilla,Y,0.9,0.72,Right Foot,3.0,55,0-1,Ørjan Nyland,David García,David García,Shot,,,,ST,CB,
30,31,2024-02-10,La Liga,Matchweek 24,Away,Ante Budimir,Real Sociedad,Y,0.14,0.19,Head,8.0,49,0-0,Álex Remiro,Jon Moncayola,Jon Moncayola,Pass (Dead),Johan Mojica,Take-On,,ST,MF,LB
31,32,2024-02-17,La Liga,Matchweek 25,Home,Ante Budimir,Cádiz,Y,0.08,0.43,Head,11.0,63,0-0,Jeremías Ledesma,Rubén García,Rubén García,Pass (Live),Jesús Areso,Pass (Live),,ST,LW,RB
32,33,2024-02-17,La Liga,Matchweek 25,Home,Ante Budimir,Cádiz,Y,0.61,0.3,Left Foot,14.0,90+1,1-0,Jeremías Ledesma,Jesús Areso,Jesús Areso,Pass (Live),Jesús Areso,Take-On,,ST,RB,RB
33,34,2024-02-25,La Liga,Matchweek 26,Away,Unai García,Las Palmas,Y*,0.07,0.18,Right Foot,14.0,49,0-0,Álvaro Vallés,Johan Mojica,Johan Mojica,Pass (Live),Aimar Oroz,Shot,Volley,CB,LB,MF
34,35,2024-03-04,La Liga,Matchweek 27,Home,Ante Budimir,Alavés,Y,0.03,0.41,Left Foot,23.0,76,0-0,Antonio Sivera,Rubén García,Rubén García,Pass (Live),Jon Moncayola,Pass (Live),,ST,LW,MF
35,36,2024-03-16,La Liga,Matchweek 29,Home,Ante Budimir,Real Madrid,Y,0.32,0.66,Left Foot,4.0,7,0-1,Andriy Lunin,Jorge Herrando,Ante Budimir,Pass (Live),Jesús Areso,Pass (Dead),Deflected,ST,ST,RB
36,37,2024-03-16,La Liga,Matchweek 29,Home,Iker Muñoz,Real Madrid,N,0.12,0.03,Right Foot,12.0,90+1,1-4,Andriy Lunin,Jesús Areso,Jesús Areso,Pass (Live),Lucas Torró,Pass (Live),,MF,RB,MF
37,38,2024-03-30,La Liga,Matchweek 30,Away,José Arnaiz,Almería,Y,0.1,0.52,Right Foot,16.0,2,0-0,Luís Maximiano,Jesús Areso,Jesús Areso,Pass (Live),Jon Moncayola,Pass (Live),Deflected,LW,RB,MF
38,39,2024-03-30,La Liga,Matchweek 30,Away,Ante Budimir,Almería,Y,0.71,0.64,Left Foot,12.0,9,1-0,Luís Maximiano,Jon Moncayola,Jon Moncayola,Pass (Live),,,,ST,MF,
39,40,2024-03-30,La Liga,Matchweek 30,Away,Iker Muñoz,Almería,Y,0.14,0.48,Right Foot,15.0,61,2-0,Luís Maximiano,Catena,Catena,Pass (Live),Moi Gómez,Pass (Dead),Volley,MF,CB,LW
0,1,2023-08-11,La Liga,Matchweek 1,Away,Isaac Palazón Camacho,Almería,Y,0.79,0.98,Left Foot,13.0,20,0-0,Diego Mariño,,Randy Ntekja,Fouled,Óscar Trejo,Pass (Live),,CAM,CAM,CAM
2,3,2023-08-21,La Liga,Matchweek 2,Away,Álvaro García,Granada,Y,0.11,0.39,Left Foot,15.0,75,0-0,André Ferreira,Unai López,Unai López,Pass (Live),,,,LW,MF,
3,4,2023-08-21,La Liga,Matchweek 2,Away,Pathé Ciss,Granada,N,0.11,0.47,Right Foot,17.0,79,1-0,André Ferreira,Raúl de Tomás,Raúl de Tomás,Pass (Live),Álvaro García,Pass (Live),,CDM,ST,LW
4,5,2023-09-15,La Liga,Matchweek 5,Home,Isaac Palazón Camacho,Alavés,Y,0.79,0.99,Left Foot,13.0,43,0-0,Antonio Sivera,,Álvaro García,Fouled,Álvaro García,Pass (Live),,CAM,LW,LW
5,6,2023-09-15,La Liga,Matchweek 5,Home,Jorge de Frutos,Alavés,N,0.41,0.83,Right Foot,8.0,82,1-0,Antonio Sivera,Álvaro García,Álvaro García,Pass (Live),Raúl de Tomás,Pass (Live),,RW,LW,ST
6,7,2023-09-24,La Liga,Matchweek 6,Home,Kike Pérez,Villarreal,Y,0.55,0.31,Left Foot,15.0,16,0-1,Filip Jørgensen,Unai López,Unai López,Pass (Live),Florian Lejeune,Pass (Live),,CAM,MF,CB
7,8,2023-09-30,La Liga,Matchweek 8,Home,Álvaro García,Mallorca,Y,0.07,0.25,Left Foot,8.0,4,0-0,Predrag Rajković,Sergio Camello,Sergio Camello,Pass (Live),Sergio Camello,Take-On,,LW,ST,ST
9,10,2023-10-07,La Liga,Matchweek 9,Away,Óscar Valentín,Sevilla,Y*,0.28,0.16,Left Foot,5.0,21,0-0,Ørjan Nyland,,Pathé Ciss,Fouled,Iván Balliu,Pass (Dead),,MF,CDM,RB
10,11,2023-10-07,La Liga,Matchweek 9,Away,Álvaro García,Sevilla,Y,0.56,0.85,Left Foot,17.0,26,1-0,Ørjan Nyland,Raúl de Tomás,Raúl de Tomás,Pass (Live),Pathé Ciss,Pass (Live),,LW,ST,CDM
11,12,2023-10-22,La Liga,Matchweek 10,Away,Bebé,Las Palmas,N,0.79,0.99,Right Foot,13.0,90+1,0-0,Álvaro Vallés,,Óscar Trejo,Fouled,Unai López,Interception,,LW,CAM,MF
12,13,2023-10-29,La Liga,Matchweek 11,Home,Abdul Mumin,Real Sociedad,Y,0.01,0.06,Right Foot,13.0,31,0-0,Álex Remiro,,Florian Lejeune,Shot,,,Deflected,CB,CB,
13,14,2023-10-29,La Liga,Matchweek 11,Home,Bebé,Real Sociedad,N,0.02,0.29,Right Foot,25.0,90+1,1-2,Álex Remiro,Florian Lejeune,Florian Lejeune,Pass (Live),Kike Pérez,Pass (Live),,LW,CB,CAM
15,16,2023-11-01,Copa del Rey,First round,Away,Radamel Falcao,Atl Lugones,Y,,,,,16,1-0,Rafa de Diego,Diego Méndez,Diego Méndez,,,,,ST,MF,
16,17,2023-11-01,Copa del Rey,First round,Away,Sergio Camello,Atl Lugones,Y,,,,,40,2-0,Rafa de Diego,Pep Chavarría,Pep Chavarría,,,,,ST,LB,
18,19,2023-11-01,Copa del Rey,First round,Away,Andrei Ratiu,Atl Lugones,Y,,,,,68,4-0,Rafa de Diego,José Pozo,José Pozo,,,,,RB,MF,
19,20,2023-11-01,Copa del Rey,First round,Away,Bebé,Atl Lugones,Y*,,,,,79,5-0,Rafa de Diego,José Pozo,José Pozo,,,,,LW,MF,
20,21,2023-11-11,La Liga,Matchweek 13,Home,Álvaro García,Girona,Y,0.4,0.76,Right Foot,13.0,5,0-0,Paulo Gazzaniga,Isaac Palazón Camacho,Isaac Palazón Camacho,,,,,LW,CAM,
21,22,2023-11-25,La Liga,Matchweek 14,Home,Unai López,Barcelona,Y,0.01,0.19,Right Foot,31.0,39,0-0,Iñaki Peña,,Óscar Trejo,Shot,,,,MF,CAM,
22,23,2023-12-06,Copa del Rey,Second round,Away,Radamel Falcao,Yeclano,N,,,,,89,0-0,Sergio Díaz,Unai López,Unai López,,,,,ST,MF,
23,24,2023-12-06,Copa del Rey,Second round,Away,Raúl de Tomás,Yeclano,Y,,,,,90+4,1-0,Sergio Díaz,Pathé Ciss,Pathé Ciss,,,,,ST,CDM,
24,25,2024-01-02,La Liga,Matchweek 19,Away,Sergio Camello,Getafe,Y,0.85,0.98,Right Foot,4.0,45+1,0-0,David Soria,,Iván Balliu,Shot,,,,ST,RB,
25,26,2024-01-02,La Liga,Matchweek 19,Away,Sergio Camello,Getafe,Y,0.43,0.77,Left Foot,7.0,47,1-0,David Soria,Randy Ntekja,Sergio Camello,Take-On,Sergio Camello,Take-On,,ST,ST,ST
26,27,2024-01-06,Copa del Rey,Round of 32,Away,Óscar Valentín,Huesca,N,,,,,118,0-0,Juan Pérez,Radamel Falcao,Radamel Falcao,,,,,MF,ST,
29,30,2024-01-31,La Liga,Matchweek 20,Away,Álvaro García,Atlético Madrid,Y,0.1,0.28,Left Foot,18.0,42,0-1,Jan Oblak,Pep Chavarría,Pep Chavarría,Pass (Live),Isaac Palazón Camacho,Pass (Live),,LW,LB,CAM
30,31,2024-02-05,La Liga,Matchweek 23,Home,Isaac Palazón Camacho,Sevilla,Y,0.12,0.78,Left Foot,10.0,29,0-1,Ørjan Nyland,Alfonso Espino,Alfonso Espino,Pass (Live),Sergio Camello,Pass (Live),Deflected,CAM,LB,ST
31,32,2024-02-11,La Liga,Matchweek 24,Away,Álvaro García,Mallorca,Y,0.67,0.95,Right Foot,3.0,76,0-1,Predrag Rajković,,Isaac Palazón Camacho,Pass (Live),Óscar Trejo,Pass (Live),Volley,LW,CAM,CAM
34,35,2024-03-17,La Liga,Matchweek 29,Home,Florian Lejeune,Betis,Y,0.08,0.28,Right Foot,27.0,40,0-0,Rui Silva,,Isaac Palazón Camacho,Fouled,Álvaro García,Pass (Live),,CB,CAM,LW
35,36,2024-03-17,La Liga,Matchweek 29,Home,Sergio Camello,Betis,N,0.35,0.32,Right Foot,6.0,78,1-0,Rui Silva,,Sergio Camello,Shot,,,,ST,ST,
0,1,2023-08-13,La Liga,Matchweek 1,Away,Ayoze Pérez,Villarreal,Y,0.12,0.45,Right Foot,15.0,20,0-0,Filip Jørgensen,Luiz Henrique,Luiz Henrique,Pass (Live),Luiz Henrique,Take-On,,LW,RW,RW
1,2,2023-08-13,La Liga,Matchweek 1,Away,Willian José,Villarreal,N,0.25,0.34,Head,12.0,90+5,1-1,Filip Jørgensen,Youssouf Sabaly,Youssouf Sabaly,Pass (Live),Willian José,Pass (Live),,ST,RB,ST
2,3,2023-08-27,La Liga,Matchweek 3,Away,Willian José,Athletic Club,Y,0.09,0.15,Left Foot,13.0,2,0-0,Unai Simón,,Ayoze Pérez,Pass (Live),Marc Roca,Pass (Live),Deflected,ST,LW,MF
3,4,2023-08-27,La Liga,Matchweek 3,Away,Isco,Athletic Club,Y,0.09,0.39,Right Foot,14.0,10,1-0,Unai Simón,Aitor Ruibal,Aitor Ruibal,Pass (Live),Guido Rodríguez,Pass (Live),,MF,RW,MF
4,5,2023-09-02,La Liga,Matchweek 4,Home,Willian José,Rayo Vallecano,Y,0.07,0.13,Right Foot,27.0,53,0-0,Stole Dimitrievski,,Ayoze Pérez,Fouled,Ayoze Pérez,Take-On,,ST,LW,LW
5,6,2023-09-24,La Liga,Matchweek 6,Home,Guido Rodríguez,Cádiz,Y,0.06,0.32,Right Foot,12.0,60,0-1,Jeremías Ledesma,,Isco,Pass (Live),,,Volley,MF,MF,
6,7,2023-09-28,La Liga,Matchweek 7,Away,Assane Diao,Granada,Y,0.04,0.17,Left Foot,23.0,51,0-0,André Ferreira,Ayoze Pérez,Ayoze Pérez,Interception,,,,LW,LW,
7,8,2023-10-01,La Liga,Matchweek 8,Home,Assane Diao,Valencia,Y,0.34,0.27,Left Foot,5.0,41,0-0,Giorgi Mamardashvili,Marc Roca,Marc Bartra,Shot,,,,LW,CB,
8,9,2023-10-01,La Liga,Matchweek 8,Home,Marc Roca,Valencia,Y,0.12,0.09,Head,7.0,52,1-0,Giorgi Mamardashvili,Isco,Isco,Pass (Dead),Isco,Shot,,MF,MF,MF
9,10,2023-10-01,La Liga,Matchweek 8,Home,Abdessamad Ezzalzouli,Valencia,N,0.06,0.5,Right Foot,20.0,85,2-0,Giorgi Mamardashvili,William Carvalho,William Carvalho,Pass (Live),Abdessamad Ezzalzouli,Pass (Live),,LW,MF,LW
10,11,2023-10-05,Europa Lg,Group stage,Home,Assane Diao,Sparta Prague,Y,0.51,0.18,Right Foot,13.0,9,0-1,Peter Vindahl Jensen,,Germán Pezzella,Interception,,,,LW,CB,
11,12,2023-10-05,Europa Lg,Group stage,Home,Isco,Sparta Prague,Y,0.26,0.69,Head,7.0,79,1-1,Peter Vindahl Jensen,Guido Rodríguez,Guido Rodríguez,Pass (Live),Aitor Ruibal,Pass (Live),,MF,MF,RW
12,13,2023-10-08,La Liga,Matchweek 9,Away,Ayoze Pérez,Alavés,Y,0.71,0.99,Right Foot,5.0,32,0-0,Antonio Sivera,,Guido Rodríguez,Shot,,,Volley,LW,MF,
13,14,2023-10-21,La Liga,Matchweek 10,Away,Marc Roca,Getafe,Y,0.37,0.73,Right Foot,15.0,1,0-0,David Soria,Borja Iglesias,Borja Iglesias,Pass (Live),Marc Roca,Pass (Live),,MF,ST,MF
14,15,2023-10-26,Europa Lg,Group stage,Away,Ayoze Pérez,Aris Limassol FC,Y,0.44,0.94,Right Foot,8.0,75,0-0,Vaná,Assane Diao,Assane Diao,Shot,,,,LW,LW,
15,16,2023-10-29,La Liga,Matchweek 11,Home,Willian José,Osasuna,Y,0.28,0.9,Right Foot,4.0,45+1,0-0,Sergio Herrera,Isco,Isco,Pass (Live),Guido Rodríguez,Shot,,ST,MF,MF
16,17,2023-10-29,La Liga,Matchweek 11,Home,Isco,Osasuna,Y,0.02,0.07,Right Foot,14.0,90+4,1-1,Sergio Herrera,,Isco,Pass (Live),Abdessamad Ezzalzouli,Pass (Dead),Volley,MF,MF,LW
17,18,2023-11-01,Copa del Rey,First round,Away,Rodri,Hernán Cortés,Y,,,,,4,0-0,Ángel Luengo,Willian José,Willian José,,,,,CAM,ST,
19,20,2023-11-01,Copa del Rey,First round,Away,Luiz Henrique,Hernán Cortés,Y,,,,,9,2-0,Ángel Luengo,Aitor Ruibal,Aitor Ruibal,,,,,RW,RW,
20,21,2023-11-01,Copa del Rey,First round,Away,Abdessamad Ezzalzouli,Hernán Cortés,Y,,,,,16,3-0,Ángel Luengo,William Carvalho,William Carvalho,,,,,LW,MF,
21,22,2023-11-01,Copa del Rey,First round,Away,Rodri,Hernán Cortés,Y,,,,,20,4-0,Ángel Luengo,Aitor Ruibal,Aitor Ruibal,,,,,CAM,RW,
23,24,2023-11-01,Copa del Rey,First round,Away,Rodri,Hernán Cortés,Y,,,,,37,6-0,Ángel Luengo,William Carvalho,William Carvalho,,,,,CAM,MF,
25,26,2023-11-01,Copa del Rey,First round,Away,Willian José,Hernán Cortés,Y,,,,,43,8-0,Ángel Luengo,Rodri,Rodri,,,,,ST,CAM,
28,29,2023-11-01,Copa del Rey,First round,Away,Assane Diao,Hernán Cortés,N,,,,,90,11-0,Alberto Galeano,Rodri,Rodri,,,,,LW,CAM,
29,30,2023-11-04,La Liga,Matchweek 12,Home,Willian José,Mallorca,Y,0.31,0.69,Right Foot,6.0,7,0-0,Predrag Rajković,Juan Miranda,Juan Miranda,Pass (Live),Isco,Pass (Live),,ST,LB,MF
30,31,2023-11-04,La Liga,Matchweek 12,Home,Ayoze Pérez,Mallorca,Y,0.09,0.26,Right Foot,14.0,65,1-0,Predrag Rajković,Luiz Henrique,Isco,Pass (Live),Guido Rodríguez,Pass (Live),,LW,MF,MF
31,32,2023-11-09,Europa Lg,Group stage,Home,Borja Iglesias,Aris Limassol FC,Y,0.54,0.99,Left Foot,6.0,34,0-0,Vaná,Abner,Abner,Pass (Live),Abdessamad Ezzalzouli,Pass (Live),,ST,LB,LW
32,33,2023-11-09,Europa Lg,Group stage,Home,Aitor Ruibal,Aris Limassol FC,Y,0.06,0.29,Right Foot,16.0,64,1-0,Vaná,Ayoze Pérez,Ayoze Pérez,Pass (Live),Abdessamad Ezzalzouli,Pass (Live),,RW,LW,LW
33,34,2023-11-09,Europa Lg,Group stage,Home,Marc Roca,Aris Limassol FC,Y,0.15,0.55,Left Foot,7.0,79,2-0,Vaná,Nabil Fekir,Nabil Fekir,,,,,MF,CAM,
34,35,2023-11-09,Europa Lg,Group stage,Home,Abdessamad Ezzalzouli,Aris Limassol FC,Y,0.24,0.1,Right Foot,13.0,90+4,3-1,Vaná,Isco,Isco,Pass (Live),Guido Rodríguez,Pass (Dead),,LW,MF,MF
36,37,2023-11-26,La Liga,Matchweek 14,Home,Willian José,Las Palmas,Y,0.3,0.92,Left Foot,7.0,19,0-0,Álvaro Vallés,,Isco,Shot,,,"Deflected, Volley",ST,MF,
37,38,2023-12-06,Copa del Rey,Second round,Away,Abdessamad Ezzalzouli,Villanovense,Y,,,,,89,0-1,Alejandro Lázaro,Marc Roca,Marc Roca,,,,,LW,MF,
38,39,2023-12-06,Copa del Rey,Second round,Away,Borja Iglesias,Villanovense,Y,,,,,90+3,1-1,Alejandro Lázaro,Juan Miranda,Juan Miranda,,,,,ST,LB,
39,40,2023-12-09,La Liga,Matchweek 16,Home,Aitor Ruibal,Real Madrid,Y,0.03,0.39,Right Foot,26.0,66,0-1,Andriy Lunin,Willian José,Willian José,Pass (Live),Ayoze Pérez,Pass (Live),,RW,ST,LW
40,41,2023-12-14,Europa Lg,Group stage,Home,Juan Miranda,Rangers,Y,0.07,0.8,Left Foot,14.0,14,0-1,Jack Butland,Borja Iglesias,Borja Iglesias,Pass (Live),Ayoze Pérez,Pass (Live),,LB,ST,LW
41,42,2023-12-14,Europa Lg,Group stage,Home,Ayoze Pérez,Rangers,Y,0.13,0.55,Right Foot,14.0,37,1-2,Jack Butland,Isco,Isco,Pass (Live),Borja Iglesias,Pass (Live),,LW,MF,ST
42,43,2023-12-21,La Liga,Matchweek 18,Home,Germán Pezzella,Girona,Y,0.03,0.25,Right Foot,17.0,88,0-1,Paulo Gazzaniga,William Carvalho,William Carvalho,Shot,,,,CB,MF,
43,44,2024-01-03,La Liga,Matchweek 19,Away,Aitor Ruibal,Celta Vigo,Y,0.31,0.97,Right Foot,9.0,6,0-0,Vicente Guaita,Isco,Isco,Pass (Live),Aitor Ruibal,Pass (Live),,RW,MF,RW
44,45,2024-01-13,La Liga,Matchweek 20,Home,Isco,Granada,Y,0.02,0.4,Right Foot,16.0,76,0-0,Augusto Batalla,Marc Roca,Marc Roca,Pass (Live),Isco,Pass (Live),Deflected,MF,MF,MF
45,46,2024-01-21,La Liga,Matchweek 21,Home,Isco,Barcelona,Y,0.13,0.18,Left Foot,12.0,56,0-2,Iñaki Peña,,Luiz Henrique,Take-On,Héctor Bellerín,Pass (Live),Volley,MF,RW,RB
46,47,2024-01-21,La Liga,Matchweek 21,Home,Isco,Barcelona,Y,0.14,0.19,Right Foot,6.0,59,1-2,Iñaki Peña,Luiz Henrique,Luiz Henrique,Pass (Live),Héctor Bellerín,Pass (Live),Volley,MF,RW,RB
47,48,2024-01-27,La Liga,Matchweek 22,Away,Sergi Altimira,Mallorca,Y,0.03,0.3,Right Foot,26.0,45+1,0-0,Predrag Rajković,Nabil Fekir,Nabil Fekir,Pass (Live),Luiz Henrique,Pass (Live),,MF,CAM,RW
48,49,2024-02-04,La Liga,Matchweek 23,Home,Isco,Getafe,Y,0.79,0.99,Right Foot,13.0,35,0-1,David Soria,,Johnny Cardoso,Fouled,Sokratis Papastathopoulos,Pass (Live),,MF,MF,CB
49,50,2024-02-09,La Liga,Matchweek 24,Away,Willian José,Cádiz,Y,0.16,0.28,Right Foot,16.0,6,0-0,Jeremías Ledesma,Johnny Cardoso,Johnny Cardoso,Pass (Live),Johnny Cardoso,Tackle,,ST,MF,MF
50,51,2024-02-09,La Liga,Matchweek 24,Away,Pablo Fornals,Cádiz,Y,0.04,0.41,Left Foot,19.0,46,1-0,Jeremías Ledesma,Willian José,Willian José,Pass (Live),,,Deflected,CAM,ST,
51,52,2024-02-22,Conf Lg,Knockout round play-offs,Away,Cédric Bakambu,Dinamo Zagreb,Y,0.31,0.98,Right Foot,3.0,38,0-0,Ivan Nevistić,Aitor Ruibal,Aitor Ruibal,Pass (Live),Chadi Riad,Pass (Live),,ST,RW,CB
52,53,2024-02-25,La Liga,Matchweek 26,Home,Ezequiel Ávila,Athletic Club,Y,0.47,0.46,Left Foot,12.0,13,0-0,Unai Simón,Willian José,Willian José,Pass (Live),Johnny Cardoso,Pass (Live),,ST,ST,MF
54,55,2024-02-25,La Liga,Matchweek 26,Home,Johnny Cardoso,Athletic Club,Y,0.03,0.36,Right Foot,27.0,67,2-1,Unai Simón,Nabil Fekir,Nabil Fekir,Pass (Live),Willian José,Pass (Live),,MF,CAM,ST
55,56,2024-03-03,La Liga,Matchweek 27,Away,William Carvalho,Atlético Madrid,N,0.04,0.21,Right Foot,29.0,62,0-2,Jan Oblak,Johnny Cardoso,Johnny Cardoso,Pass (Live),,,,MF,MF,
56,57,2024-03-10,La Liga,Matchweek 28,Home,Guido Rodríguez,Villarreal,Y,0.1,0.52,Right Foot,10.0,30,0-0,Filip Jørgensen,William Carvalho,William Carvalho,Pass (Live),Ezequiel Ávila,Fouled,Volley,MF,MF,ST
57,58,2024-03-10,La Liga,Matchweek 28,Home,Willian José,Villarreal,Y,0.18,0.27,Right Foot,9.0,45+2,1-1,Filip Jørgensen,Pablo Fornals,Pablo Fornals,Pass (Live),William Carvalho,Pass (Live),"Deflected, Volley",ST,CAM,MF
58,59,2024-03-31,La Liga,Matchweek 30,Away,Willian José,Girona,Y,0.1,0.06,Left Foot,32.0,45+4,0-1,Paulo Gazzaniga,,Willian José,Interception,,,,ST,ST,
59,60,2024-03-31,La Liga,Matchweek 30,Away,Willian José,Girona,Y,0.32,0.17,Left Foot,11.0,76,1-2,Paulo Gazzaniga,Pablo Fornals,Pablo Fornals,Pass (Live),Aitor Ruibal,Pass (Live),,ST,CAM,RW
60,61,2024-04-12,La Liga,Matchweek 31,Home,Juan Miranda,Celta Vigo,Y,0.24,0.13,Left Foot,13.0,53,0-0,Vicente Guaita,Héctor Bellerín,Héctor Bellerín,Pass (Live),Pablo Fornals,Pass (Live),,LB,RB,CAM
61,62,2024-04-12,La Liga,Matchweek 31,Home,Nabil Fekir,Celta Vigo,N,0.04,0.26,Right Foot,14.0,83,1-0,Vicente Guaita,Isco,Nabil Fekir,Take-On,Isco,Pass (Live),,CAM,CAM,MF
0,1,2023-08-12,La Liga,Matchweek 1,Away,Rodrygo,Athletic Club,Y,0.07,0.07,Right Foot,13.0,28,0-0,Unai Simón,Dani Carvajal,Dani Carvajal,Pass (Live),Rodrygo,Pass (Live),,RW,RB,RW
1,2,2023-08-12,La Liga,Matchweek 1,Away,Jude Bellingham,Athletic Club,Y,0.08,0.47,Right Foot,15.0,36,1-0,Unai Simón,David Alaba,David Alaba,Pass (Dead),Jude Bellingham,Shot,Volley,CAM,CB,CAM
2,3,2023-08-19,La Liga,Matchweek 2,Away,Jude Bellingham,Almería,Y,0.18,0.98,Right Foot,8.0,19,0-1,Luís Maximiano,,Federico Valverde,Shot,,,,CAM,MF,
3,4,2023-08-19,La Liga,Matchweek 2,Away,Jude Bellingham,Almería,Y,0.35,0.61,Head,9.0,60,1-1,Luís Maximiano,Toni Kroos,Toni Kroos,Pass (Live),Aurélien Tchouaméni,Pass (Live),,CAM,MF,CDM
4,5,2023-08-19,La Liga,Matchweek 2,Away,Vinicius Júnior,Almería,Y,0.12,0.42,Right Foot,16.0,73,2-1,Luís Maximiano,Jude Bellingham,Jude Bellingham,Pass (Live),Federico Valverde,Pass (Live),Deflected,LW,CAM,MF
5,6,2023-08-25,La Liga,Matchweek 3,Away,Jude Bellingham,Celta Vigo,Y,0.19,0.51,Head,6.0,81,0-0,Iván Villar,Joselu,Joselu,Pass (Live),Toni Kroos,Pass (Dead),,CAM,ST,MF
6,7,2023-09-02,La Liga,Matchweek 4,Home,Joselu,Getafe,Y,0.51,0.37,Right Foot,7.0,47,0-1,David Soria,,Aurélien Tchouaméni,Shot,,,,ST,CDM,
7,8,2023-09-02,La Liga,Matchweek 4,Home,Jude Bellingham,Getafe,Y,0.7,0.85,Left Foot,6.0,90+5,1-1,David Soria,,Lucas Vázquez,Shot,,,,CAM,RB,
8,9,2023-09-17,La Liga,Matchweek 5,Home,Federico Valverde,Real Sociedad,Y,0.06,0.39,Right Foot,21.0,46,0-1,Álex Remiro,Fran Garcia,Fran Garcia,Pass (Live),Rodrygo,Pass (Live),,MF,LB,RW
