Unnamed: 0,Rk,Date,Comp,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Scorer-p,GCA1-p,GCA2-p
18,19,2023-11-02,Copa del Rey,First round,Away,Shon Weissman,Arosa,Y,,,,,88,1-0,Raúl Rodríguez,Sergio Ruiz,Sergio Ruiz,,,,,ST,MF,
19,20,2023-11-02,Copa del Rey,First round,Away,Famara Diedhiou,Arosa,Y,,,,,90,2-0,Raúl Rodríguez,Wilson Manafá,Wilson Manafá,,,,,ST,RB,
20,21,2023-11-11,La Liga,Matchweek 13,Home,Gonzalo Villar,Getafe,Y,0.64,0.73,Right Foot,8.0,45+4,0-1,David Soria,Carlos Neva,Carlos Neva,Pass (Live),Gerard Gumbau,Pass (Live),,MF,LB,MF
21,22,2023-11-24,La Liga,Matchweek 14,Away,Myrto Uzuni,Alavés,Y,0.79,0.99,Right Foot,13.0,86,0-3,Antonio Sivera,,Famara Diedhiou,Fouled,Gerard Gumbau,Pass (Live),,LW,ST,MF
23,24,2024-01-03,La Liga,Matchweek 19,Home,Myrto Uzuni,Cádiz,Y,0.94,0.98,Right Foot,2.0,22,0-0,Jeremías Ledesma,Lucas Boyé,Lucas Boyé,Pass (Live),Bryan Zaragoza,Pass (Dead),,LW,ST,CAM
24,25,2024-01-03,La Liga,Matchweek 19,Home,Bryan Zaragoza,Cádiz,Y,0.34,0.82,Right Foot,9.0,70,1-0,Jeremías Ledesma,Carlos Neva,Carlos Neva,Pass (Live),Lucas Boyé,Pass (Live),,CAM,LB,ST
25,26,2024-02-03,La Liga,Matchweek 23,Home,Bruno Méndez,Las Palmas,Y,0.03,0.49,Left Foot,17.0,43,0-0,Álvaro Vallés,Sergio Ruiz,Sergio Ruiz,Pass (Dead),Gonzalo Villar,Fouled,,CB,MF,MF
26,27,2024-02-11,La Liga,Matchweek 24,Away,Ricard Sánchez,Barcelona,Y,0.06,0.14,Right Foot,11.0,43,0-1,Marc-André ter Stegen,Facundo Pellistri,Facundo Pellistri,Pass (Live),Ricard Sánchez,Pass (Live),,RB,RW,RB
27,28,2024-02-11,La Liga,Matchweek 24,Away,Facundo Pellistri,Barcelona,Y,0.73,0.9,Right Foot,4.0,60,1-1,Marc-André ter Stegen,Myrto Uzuni,Myrto Uzuni,Pass (Live),Facundo Pellistri,Pass (Live),,RW,LW,RW
28,29,2024-02-11,La Liga,Matchweek 24,Away,Ignasi Miquel,Barcelona,Y*,0.09,0.17,Head,11.0,66,2-2,Marc-André ter Stegen,Faitout Maouassa,Faitout Maouassa,Pass (Live),Óscar Melendo,Pass (Live),,CB,LB,CAM
29,30,2024-02-18,La Liga,Matchweek 25,Home,Myrto Uzuni,Almería,Y,0.52,0.86,Right Foot,21.0,75,0-1,Luís Maximiano,Gerard Gumbau,Gerard Gumbau,Pass (Live),Sergio Ruiz,Pass (Live),,LW,MF,MF
30,31,2024-03-03,La Liga,Matchweek 27,Away,Theo Corbeanu,Villarreal,N,0.21,0.56,Left Foot,8.0,90+1,0-5,Pepe Reina,Sergio Ruiz,Sergio Ruiz,Pass (Live),Theo Corbeanu,Pass (Live),,RW,MF,RW
31,32,2024-03-09,La Liga,Matchweek 28,Home,Myrto Uzuni,Real Sociedad,Y,0.79,0.99,Right Foot,13.0,21,0-0,Álex Remiro,,Facundo Pellistri,Fouled,Kamil Jóźwiak,Shot,,LW,RW,MF
32,33,2024-03-09,La Liga,Matchweek 28,Home,Myrto Uzuni,Real Sociedad,Y,0.46,0.98,Head,3.0,45+3,1-1,Álex Remiro,,Facundo Pellistri,Pass (Live),Gerard Gumbau,Pass (Live),,LW,RW,MF
0,1,2023-08-12,La Liga,Matchweek 1,Home,Jonathan Viera,Mallorca,Y*,0.79,0.99,Right Foot,13.0,29,0-0,Predrag Rajković,,Sandro Ramírez,Fouled,Kirian Rodríguez,Pass (Live),,CAM,ST,MF
